step,frame,time,element,point,r,z,s_rr,s_zz,s_hoop,s_rz,ee_rr,ee_zz,ee_hoop,ee_rz,pe_rr,pe_zz,pe_hoop,pe_rz,peeq,ce_rr,ce_zz,ce_hoop,ce_rz,ceeq
RELAX_SLOW,1,0.5000000074505806,1,4,0.0047886751345948154,0.0079656188594076308,5839213.2991613736,13197195.292224512,5839213.2991613736,-1.0905001286241027e-24,0.0001282907217456074,0.0096936673127276905,0.0001282907217456074,-1.4176501672113337e-33,nan,nan,nan,nan,nan,-0.0001282907217456074,0.00025658144349121486,-0.0001282907217456074,-5.7040523623226276e-35,0.00025658144349121486
RELAX_SLOW,2,0.7000000104308128,1,1,0.0042113248654051857,0.0021343811405923688,5772171.8492543194,13331278.192038625,5772171.8492543194,-4.1810465528408249e-24,4.1136836866434997e-05,0.0098679750824860364,4.1136836866434997e-05,-5.4353605186930744e-33,nan,nan,nan,nan,nan,-4.1136836866434997e-05,8.227367373287002e-05,-4.1136836866434997e-05,-6.8260064950414944e-35,8.227367373287002e-05
RELAX_SLOW,2,0.7000000104308128,1,2,0.0047886751345948145,0.0021343811405923688,5808972.5511470875,13257676.788253086,5808972.5511470875,-4.119981617061309e-24,8.8977749327036332e-05,0.0097722932575648319,8.8977749327036332e-05,-5.3559761021797e-33,nan,nan,nan,nan,nan,-8.8977749327036332e-05,0.00017795549865407269,-8.8977749327036332e-05,-1.4764448146378817e-34,0.00017795549865407266
RELAX_SLOW,2,0.7000000104308128,1,3,0.0042113248654051857,0.0079656188594076308,6031207.0858324021,12813207.718882455,6031207.0858324021,-1.0051359964786964e-24,0.00037788264441794561,0.0091944834673830141,0.00037788264441794561,-1.3066767954223053e-33,nan,nan,nan,nan,nan,-0.00037788264441794561,0.00075576528883589133,-0.00037788264441794561,-1.6801389541225375e-34,0.0007557652888358913
RELAX_SLOW,2,0.7000000104308128,1,4,0.0047886751345948154,0.0079656188594076308,5885003.9278181195,13105614.034911025,5885003.9278181195,-1.0701407339611223e-24,0.00018781853899937565,0.0095746116782201539,0.00018781853899937565,-1.3911829541494592e-33,nan,nan,nan,nan,nan,-0.00018781853899937565,0.00037563707799875135,-0.00018781853899937565,-8.3507736685100902e-35,0.00037563707799875135
RELAX_SLOW,3,0.9000000283122063,1,1,0.0042113248654051857,0.0021343811405923688,5782517.5657334011,13310586.759080458,5782517.5657334011,-4.1638794750435282e-24,5.4586268289243519e-05,0.0098410762196404194,5.4586268289243519e-05,-5.413043317556588e-33,nan,nan,nan,nan,nan,-5.4586268289243519e-05,0.00010917253657848706,-5.4586268289243519e-05,-9.0577266086901413e-35,0.00010917253657848706
RELAX_SLOW,3,0.9000000283122063,1,2,0.0047886751345948145,0.0021343811405923688,5830829.9302693307,13213962.030008597,5830829.9302693307,-4.0837127584863414e-24,0.00011739234218595189,0.0097154640718470006,0.00011739234218595189,-5.3088265860322459e-33,nan,nan,nan,nan,nan,-0.00011739234218595189,0.0002347846843719038,-0.00011739234218595189,-1.9479399761124252e-34,0.00023478468437190377
RELAX_SLOW,3,0.9000000283122063,1,3,0.0042113248654051857,0.0079656188594076308,6111187.8446425637,12653246.201262128,6111187.8446425637,-9.6957501201903272e-25,0.0004818576308711558,0.008986533494476593,0.0004818576308711558,-1.2604475156247425e-33,nan,nan,nan,nan,nan,-0.0004818576308711558,0.00096371526174231171,-0.0004818576308711558,-2.1424317520981662e-34,0.0009637152617423117
RELAX_SLOW,3,0.9000000283122063,1,4,0.0047886751345948154,0.0079656188594076308,5928896.6487483308,13017828.593050599,5928896.6487483308,-1.0506251855953402e-24,0.00024487907620865303,0.0094604906038015992,0.00024487907620865303,-1.3658127412739423e-33,nan,nan,nan,nan,nan,-0.00024487907620865303,0.00048975815241730618,-0.00024487907620865303,-1.0887794956061782e-34,0.0004897581524173062
RELAX_SLOW,4,1.1000000163912773,1,1,0.0042113248654051857,0.0021343811405923688,5792770.5129880458,13290080.864571173,5792770.5129880458,-4.1468663330800987e-24,6.791509972027837e-05,0.0098144185567783492,6.791509972027837e-05,-5.3909262330041309e-33,nan,nan,nan,nan,nan,-6.791509972027837e-05,0.00013583019944055677,-6.791509972027837e-05,-1.1269435063935838e-34,0.00013583019944055677
RELAX_SLOW,4,1.1000000163912773,1,2,0.0047886751345948145,0.0021343811405923688,5852261.3735484313,13171099.143450396,5852261.3735484313,-4.0481506729773777e-24,0.00014525321844878231,0.0096597423193213391,0.00014525321844878231,-5.2625958748705908e-33,nan,nan,nan,nan,nan,-0.00014525321844878231,0.00029050643689756462,-0.00014525321844878231,-2.4102470877289755e-34,0.0002905064368975646
RELAX_SLOW,4,1.1000000163912773,1,3,0.0042113248654051857,0.0079656188594076308,6184955.1514975363,12505711.587552188,6184955.1514975363,-9.3677664786588307e-25,0.00057775512978262052,0.0087947384966536642,0.00057775512978262052,-1.2178096422256476e-33,nan,nan,nan,nan,nan,-0.00057775512978262052,0.001155510259565241,-0.00057775512978262052,-2.5688104860891147e-34,0.001155510259565241
RELAX_SLOW,4,1.1000000163912773,1,4,0.0047886751345948154,0.0079656188594076308,5971010.9314956469,12933600.027555961,5971010.9314956469,-1.0319003650686694e-24,0.00029962764378016466,0.0093509934686585756,0.00029962764378016466,-1.3414704745892703e-33,nan,nan,nan,nan,nan,-0.00029962764378016466,0.00059925528756032942,-0.00029962764378016466,-1.332202162452897e-34,0.0005992552875603294
