step,node,temperature,rfl,u1,u2,u3
REFERENCE,460,370,-9.8958333333333333e-21,0,0,0
REFERENCE,461,390,6.7708333333333402e-21,0,0,0
REFERENCE,462,410,9.2187500000000015e-20,0,0,0
REFERENCE,463,430,1.0864583333333333e-19,0,0,0
REFERENCE,464,450,1.911458333333333e-19,0,0,0
REFERENCE,465,310,-1.9322916666666665e-19,0,0,0
REFERENCE,466,330,-1.078125e-19,0,0,0
REFERENCE,467,351,359062.5,0,0,0
REFERENCE,468,370,-9.6875000000000041e-21,0,0,0
REFERENCE,469,390,7.8124999999999991e-21,0,0,0
REFERENCE,470,410,9.1979166666666659e-20,0,0,0
REFERENCE,471,430,1.0885416666666667e-19,0,0,0
REFERENCE,472,450,1.9010416666666667e-19,0,0,0
REFERENCE,473,310,-1.9114583333333333e-19,0,0,0
REFERENCE,474,330,-1.0989583333333333e-19,0,0,0
REFERENCE,475,350,-9.3020833333333332e-20,0,0,0
REFERENCE,476,371,339062.5,0,0,0
REFERENCE,477,390,8.645833333333337e-21,0,0,0
REFERENCE,478,410,9.114583333333333e-20,0,0,0
REFERENCE,479,430,1.0677083333333334e-19,0,0,0
REFERENCE,480,450,1.9218749999999999e-19,0,0,0
REFERENCE,481,310,-1.911458333333333e-19,0,0,0
REFERENCE,482,330,-1.0989583333333333e-19,0,0,0
REFERENCE,483,350,-9.2187500000000003e-20,0,0,0
REFERENCE,484,370,-8.0208333333333373e-21,0,0,0
