type	geometry	material	step	element	node	rule	prediction	measured_ratio	relative_error
C3D8T	regular	CONSTANT	REFERENCE	3	3	fixed_initial_mass	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	global_volume_ratio	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	local_volume_ratio	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	global_over_local	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	current_rows_over_initial_rows	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	rows_over_local	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	rows_over_global	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	integrated_density	1.0000000000000002	1.0	2.220446049250313e-16
C3D8T	regular	CONSTANT	REFERENCE	3	3	rows_over_mean_f_current_density	0.9999999999999991	1.0	8.881784197001252e-16
C3D8T	regular	CONSTANT	REFERENCE	3	3	rows_over_center_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	fixed_initial_mass_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	global_volume_ratio_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	local_volume_ratio_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	global_over_local_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	current_rows_over_initial_rows_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	rows_over_local_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	rows_over_global_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	3	3	integrated_density_current_density	1.0000000000000002	1.0	2.220446049250313e-16
C3D8T	regular	CONSTANT	DEFORM_A	3	3	rows_over_mean_f	1.006245084314101	0.9795060846509533	0.02729845182398849
C3D8T	regular	CONSTANT	DEFORM_A	3	3	rows_over_center	1.0062450843141029	0.9795060846509533	0.02729845182399049
C3D8T	regular	CONSTANT	DEFORM_A	3	3	fixed_initial_mass	1.0	0.9795060846509533	0.02092270346268421
C3D8T	regular	CONSTANT	DEFORM_A	3	3	global_volume_ratio	1.3838876458333358	0.9795060846509533	0.4128423166727786
C3D8T	regular	CONSTANT	DEFORM_A	3	3	local_volume_ratio	1.4128423166727786	0.9795060846509533	0.44240279750405476
C3D8T	regular	CONSTANT	DEFORM_A	3	3	global_over_local	0.9795060846509533	0.9795060846509533	0.0
C3D8T	regular	CONSTANT	DEFORM_A	3	3	current_rows_over_initial_rows	1.3924359259259285	0.9795060846509533	0.42156944989486456
C3D8T	regular	CONSTANT	DEFORM_A	3	3	rows_over_local	0.9855564980564095	0.9795060846509533	0.006177004410965248
C3D8T	regular	CONSTANT	DEFORM_A	3	3	rows_over_global	1.0061770044109652	0.9795060846509533	0.02722894750522764
C3D8T	regular	CONSTANT	DEFORM_A	3	3	integrated_density	1.0000000000000002	0.9795060846509533	0.020922703462684433
C3D8T	regular	CONSTANT	DEFORM_A	3	3	rows_over_mean_f_current_density	1.006245084314101	0.9795060846509533	0.02729845182398849
C3D8T	regular	CONSTANT	DEFORM_A	3	3	rows_over_center_current_density	1.0062450843141029	0.9795060846509533	0.02729845182399049
C3D8T	regular	CONSTANT	DEFORM_A	3	3	fixed_initial_mass_current_density	1.0	0.9795060846509533	0.02092270346268421
C3D8T	regular	CONSTANT	DEFORM_A	3	3	global_volume_ratio_current_density	1.3838876458333358	0.9795060846509533	0.4128423166727786
C3D8T	regular	CONSTANT	DEFORM_A	3	3	local_volume_ratio_current_density	1.4128423166727786	0.9795060846509533	0.44240279750405476
C3D8T	regular	CONSTANT	DEFORM_A	3	3	global_over_local_current_density	0.9795060846509533	0.9795060846509533	0.0
C3D8T	regular	CONSTANT	DEFORM_A	3	3	current_rows_over_initial_rows_current_density	1.3924359259259285	0.9795060846509533	0.42156944989486456
