stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
9,0.009000000000000001,2,600,0.03000000000000003,-1.462538793936889e-28,-9.012468891857709e-45,-7.152672109578994e-15,1362471256.841928,-300858163.443769,-878234931.3621871
9,0.009000000000000001,3,600,0.06200000000000006,-1.388729374605007e-28,2.530864309627081e-44,1.556976669001916e-15,2592556676.323759,1440999874.386735,-878234931.3621869
9,0.009000000000000001,4,600,0.032,1.462538793936889e-28,3.734724121740502e-44,-1.436510135039246e-15,-1362471256.841928,300858163.443769,-878234931.362187
9,0.009000000000000001,5,600,1.501660537782818e-28,1.388729374605007e-28,-1.742616268686203e-44,-1.417919958194489e-14,-2592556676.323759,-1440999874.386735,878234931.3621873
9,0.009000000000000001,6,600,0.03000000000000003,-1.462538793936889e-28,1.649728623449259e-44,1.198976453950461e-16,1362471256.841928,-300858163.4437692,878234931.3621873
9,0.009000000000000001,7,600,0.06200000000000006,-1.388729374605007e-28,1.065646823757817e-45,9.270207026443427e-15,2592556676.323759,1440999874.386735,878234931.3621869
9,0.009000000000000001,8,600,0.032,1.462538793936889e-28,-2.908930150230777e-45,1.633159797456089e-14,-1362471256.841928,300858163.4437689,878234931.3621871
10,0.01,1,600,1.489434302766753e-28,1.37709940176833e-28,1.122722775462148e-43,9.571057358052444e-15,-2740268834.959527,-1578747267.484223,-878234931.3621874
10,0.01,2,600,0.03000000000000003,-1.475506235326876e-28,1.36219211028981e-43,5.075852277913962e-15,1202784321.024109,-153308143.7097982,-878234931.3621874
10,0.01,3,600,0.07000000000000006,-1.377099401768331e-28,1.044933057213519e-43,-9.761859891234378e-15,2740268834.959527,1578747267.484223,-878234931.3621873
10,0.01,4,600,0.04,1.475506235326875e-28,1.357559372123139e-43,-1.64275528091865e-14,-1202784321.024109,153308143.7097983,-878234931.3621873
10,0.01,5,600,1.489434302766752e-28,1.377099401768331e-28,-1.007928405264659e-43,-5.141181051683623e-15,-2740268834.959527,-1578747267.484223,878234931.3621876
10,0.01,6,600,0.03000000000000003,-1.475506235326875e-28,-1.11581982097265e-43,7.632923024733838e-15,1202784321.024109,-153308143.7097982,878234931.3621874
10,0.01,7,600,0.07000000000000006,-1.37709940176833e-28,-1.284957780549028e-43,2.312211056235946e-15,2740268834.959527,1578747267.484223,878234931.3621874
10,0.01,8,600,0.04,1.475506235326875e-28,-6.661026577805974e-44,6.738550035168314e-15,-1202784321.024109,153308143.7097982,878234931.3621874
11,0.011,1,600,-7.067763351288227e-28,-2.436858741337552e-28,-3.351479586142398e-28,3.154961150441542e-15,-2560233329.804421,-1856534815.024449,-878234931.3621842
11,0.011,2,600,0.02435755222932157,0.1076643171656831,-3.351479586142388e-28,7.132864561563688e-16,1212220407.332535,-26743108.9385782,-878234931.3621839
11,0.011,3,600,-0.04039003522360107,0.1063673510646626,-3.351479586142382e-28,-6.270238062995037e-15,2560233329.804419,1856534815.02445,-878234931.3621845
11,0.011,4,600,-0.06474758745292253,-0.001296966101020591,-3.351479586142389e-28,-9.140512608057351e-15,-1212220407.332533,26743108.93857716,-878234931.3621845
11,0.011,5,600,-7.067763351288238e-28,-2.436858741337551e-28,3.351479586142396e-28,-9.827453064107006e-15,-2560233329.804421,-1856534815.024448,878234931.3621842
11,0.011,6,600,0.02435755222932157,0.1076643171656831,3.3514795861424e-28,1.247027944003764e-14,1212220407.332534,-26743108.93857824,878234931.3621838
11,0.011,7,600,-0.04039003522360107,0.1063673510646626,3.351479586142393e-28,-1.812958703159626e-15,2560233329.80442,1856534815.02445,878234931.3621844
11,0.011,8,600,-0.06474758745292253,-0.001296966101020591,3.351479586142379e-28,1.071263539168348e-14,-1212220407.332532,26743108.93857717,878234931.3621845
12,0.012,1,600,-6.774324304705146e-28,-3.162291816029241e-28,-3.351479586142338e-28,5.335664948997487e-15,-2352147372.524718,-2113981778.626392,-878234931.362186
12,0.012,2,600,0.00749202875581978,0.2141490415422921,-3.351479586142321e-28,-1.248751445195692e-14,1208375153.184801,100114928.9305209,-878234931.362186
12,0.012,3,600,-0.1612937580325873,0.2006131099088082,-3.351479586142327e-28,4.387487108005384e-15,2352147372.524717,2113981778.626393,-878234931.3621857
