case,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
D10_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39502181501243,6045071801.36024,-5290890951.733292,-5677707082.33526
D10_PLUS,3,445,0.06800010000000001,0.036,-0.016,21.00298143668987,6728534824.351445,5797420660.183955,-5773398276.834954
D10_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.03990552646553,-6216788934.971026,5098315177.697833,-5772192188.886388
D10_PLUS,5,470,0.012,-0.02,0.056,44.87952977243474,-6598363551.833839,-5791885839.029533,5559822822.322748
D10_PLUS,6,430,0.04,0.016,0.04,25.05443944957643,6264347809.278476,-5142732134.651308,5732498942.844712
D10_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188213788331,6783105638.355995,5984730363.818349,5906806562.762644
D10_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.75644473399186,-6194707625.204471,5289529367.174476,5889480288.569962
D10_MINUS,1,360,6.454973060000001e-27,5.474973559999999e-27,5.43987712e-27,-142.0772881271711,-6811196920.800852,-5944484577.934837,-5865310693.525391
D10_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39501649316067,6045068767.327538,-5290890241.762483,-5677705009.688289
D10_MINUS,3,445,0.0679999,0.036,-0.016,21.00299210318948,6728529617.997007,5797418610.763254,-5773396172.962852
D10_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.03990126894698,-6216787956.637584,5098314497.71333,-5772191475.358852
D10_MINUS,5,470,0.012,-0.02,0.056,44.87952544848188,-6598358445.855495,-5791883795.626806,5559820779.370275
D10_MINUS,6,430,0.04,0.016,0.04,25.05443533495133,6264346835.74263,-5142731808.328821,5732498603.851583
D10_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188135595864,6783102630.916574,5984728290.516202,5906805820.254724
D10_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.75643944306967,-6194704528.689815,5289529024.660161,5889478148.058803
D11_PLUS,1,360,6.454973069428e-27,5.474974559999999e-27,5.43987612e-27,-142.077287138204,-6811196914.094254,-5944485247.218834,-5865309846.780113
D11_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39501533181397,6045068716.278259,-5290889526.132608,-5677705890.779457
D11_PLUS,3,445,0.068,0.036,-0.016,21.00298927551194,6728531724.943464,5797419265.241716,-5773396829.237885
D11_PLUS,4,385,-0.0159999,0.04399999999999999,0.008,-98.03990867336216,-6216785792.521188,5098313770.192492,-5772190774.68064
D11_PLUS,5,470,0.012,-0.02,0.056,44.8795272354062,-6598360531.57374,-5791884637.032159,5559821625.429984
D11_PLUS,6,430,0.04,0.016,0.04,25.05443964859678,6264344693.662599,-5142730896.005645,5732497721.768732
D11_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188179580336,6783102602.77424,5984729144.401958,5906805154.012873
D11_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.75643702583163,-6194704499.469382,5289528126.553079,5889478840.266504
D11_MINUS,1,360,6.454976050572e-27,5.474974559999999e-27,5.43987812e-27,-142.0772904190146,-6811199968.043434,-5944485974.176583,-5865311915.188651
D11_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39502297635819,6045071852.409542,-5290891667.36307,-5677706201.244215
D11_MINUS,3,445,0.068,0.036,-0.016,21.00298426436839,6728532717.404958,5797420005.705595,-5773397620.560077
D11_MINUS,4,385,-0.0160001,0.04399999999999999,0.008,-98.03989812205019,-6216791099.087496,5098315905.218575,-5772192889.564441
D11_MINUS,5,470,0.012,-0.02,0.056,44.87952798550999,-6598361466.115568,-5791884997.62424,5559821976.26316
D11_MINUS,6,430,0.04,0.016,0.04,25.05443513593085,6264349951.358577,-5142733046.974455,5732499824.927473
D11_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.818816980385,6783105666.498351,5984729509.932653,5906807229.004333
D11_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.75644715122881,-6194707654.424929,5289530265.281524,5889479596.362416
D12_PLUS,1,360,6.454973069428e-27,5.474973559999999e-27,5.43987712e-27,-142.0772834119626,-6811196950.316248,-5944484597.12452,-5865310532.504225
