effective_creep_strain,effective_plastic_strain,id,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,x,y,z
0.00028300800359951,0.00071009561819348,49,201438027.82114,-1378.5281414449,11202.514260168,21155.125720261,7258.3314635471,14520.961619079,0.0015,0.0005,0.0035
0.00028294093626913,0.00070995725691936,50,201445371.02709,2965.2430025682,2053.1615019287,25115.615899027,7513.223762524,25798.683770636,0.0025,0.0005,0.0035
0.00028245864631224,0.00070938126513797,51,201411657.95445,2552.8142153336,6173.578209093,-6691.1267548921,3878.0961359679,-7516.9989400655,0.0035,0.0005,0.0035
0.0002829991790356,0.00070965718276718,52,201425216.67118,-675.76883505843,12640.199375349,17692.15365749,6776.1270860971,-5882.1885240823,0.0005,0.0015,0.0035
0.00028302383440536,0.00071007461529825,53,201440366.39837,-528.77119580201,21021.961232034,34552.529121403,16225.662920835,5896.5089988857,0.0015,0.0015,0.0035
0.00028294886893198,0.00070990798584536,54,201447484.18667,5032.5090413381,-8596.3184025212,39349.840437722,16494.256258754,15995.772659097,0.0025,0.0015,0.0035
0.00028238608686237,0.00070930041505376,55,201414552.09831,6329.730724582,2735.2772505987,2078.225823353,6398.4503054448,-10173.638721913,0.0035,0.0015,0.0035
0.00028300355793635,0.00070972507905155,56,201423479.83943,7405.420057645,11697.118810952,12157.201107406,-9792.9406764375,-4092.2797435913,0.0005,0.0025,0.0035
0.00028303211368517,0.00071004262248798,57,201438687.22523,10790.900783736,19534.412207367,31863.706677369,-21224.052396076,5358.6591684651,0.0015,0.0025,0.0035
0.00028296350792298,0.00070983098541427,58,201445816.3648,-4105.6670497521,-10026.438850897,38232.59124148,-21909.907030605,14088.903159654,0.0025,0.0025,0.0035
0.00028234925433127,0.00070935748931342,59,201416065.43541,479.22674539893,1670.6375841537,2986.0530849658,-13421.73878999,-8281.7562732175,0.0035,0.0025,0.0035
0.00028298433024457,0.00070983727173564,60,201414552.93711,7933.0381376018,7933.0381376089,-5120.5191560984,-1457.0536104938,-5120.5191560946,0.0005,0.0035,0.0035
0.00028299006558274,0.0007100562232725,61,201434630.99503,7757.4083692103,7757.4083691928,14520.165921434,-9277.5716032877,14520.165921422,0.0015,0.0035,0.0035
0.00028293639855645,0.00070985171045284,62,201442376.96818,-2168.0706277115,-2168.0706277245,22674.558498682,-10798.228526375,22674.55849869,0.0025,0.0035,0.0035
0.0002825198958407,0.00070942822551742,63,201409383.49302,1277.2288501789,1277.2288502014,-9472.315109225,-8774.3503386103,-9472.3151092157,0.0035,0.0035,0.0035
