geometry	element	local_node	node	rule	weight_m3	prediction_w	native_rfl_w	relative_error	absolute_error_w
warped	13	5	101	reference_corner	0.177875	1067250.0	1321070.7317821681	0.19213258281769333	253820.73178216815
warped	13	5	101	current_gauss	0.22350796700377867	1341047.802022672	1321070.7317821681	0.015121877852485723	19977.070240503876
warped	13	5	101	current_corner	0.23451375000000024	1407082.5000000014	1321070.7317821681	0.06510761774413133	86011.76821783325
warped	13	5	101	current_row_sum	0.21557185966435188	1293431.1579861112	1321070.7317821681	0.020922099877854542	27639.57379605691
warped	13	5	101	reference_gauss_volume_ratio	0.2201784552970277	1321070.7317821663	1321070.7317821681	1.409951113456421e-15	1.862645149230957e-09
warped	13	5	101	reference_corner_volume_ratio	0.22027687305611576	1321661.2383366947	1321070.7317821681	0.000446990869088362	590.5065545265097
warped	13	5	101	reference_gauss_determinant_average_f	0.22014948899585288	1320896.9339751173	1321070.7317821681	0.00013155829046065525	173.79780705086887
warped	13	5	101	native_ivol	0.220178455297028	1321070.7317821681	1321070.7317821681	0.0	0.0
warped	14	6	110	reference_gauss	0.18759422891166486	1125565.373469989	1393877.840552123	0.19249353083614118	268312.467082134
warped	14	6	110	reference_corner	0.21543750000000003	1292625.0000000002	1393877.840552123	0.07264111502914486	101252.8405521228
warped	14	6	110	current_gauss	0.2229008405853875	1337405.043512325	1393877.840552123	0.040514882579257304	56472.797039797995
warped	14	6	110	current_corner	0.24096081250000037	1445764.8750000023	1393877.840552123	0.037224951095661686	51887.0344478793
warped	14	6	110	current_row_sum	0.21380345196759268	1282820.711805556	1393877.840552123	0.0796749367237065	111057.12874656706
warped	14	6	110	reference_gauss_volume_ratio	0.23231297342535315	1393877.8405521188	1393877.840552123	3.006684993363259e-15	4.190951585769653e-09
warped	14	6	110	reference_corner_volume_ratio	0.26679352825875985	1600761.169552559	1393877.840552123	0.14842285527581695	206883.329000436
warped	14	6	110	reference_gauss_determinant_average_f	0.2322824107277178	1393694.4643663068	1393877.840552123	0.00013155829046224786	183.37618581624702
warped	14	6	110	native_ivol	0.23231297342535384	1393877.840552123	1393877.840552123	0.0	0.0
warped	15	7	119	reference_gauss	0.16325677824052978	979540.6694431787	1213043.7424946595	0.19249353083613868	233503.0730514808
warped	15	7	119	reference_corner	0.15424999999999991	925499.9999999995	1213043.7424946595	0.23704317694539023	287543.74249465996
warped	15	7	119	current_gauss	0.21006071687946828	1260364.3012768098	1213043.7424946595	0.03900977114381232	47320.55878215027
warped	15	7	119	current_corner	0.20823468749999982	1249408.1249999988	1213043.7424946595	0.02997779983643041	36364.38250533934
warped	15	7	119	current_row_sum	0.20834567042824065	1250074.0225694438	1213043.7424946595	0.03052674753395987	37030.2800747843
warped	15	7	119	reference_gauss_volume_ratio	0.20217395708244326	1213043.7424946595	1213043.7424946595	0.0	0.0
warped	15	7	119	reference_corner_volume_ratio	0.19102014149771362	1146120.8489862818	1213043.7424946595	0.05516939840170055	66922.89350837772
warped	15	7	119	reference_gauss_determinant_average_f	0.2021473594222741	1212884.1565336445	1213043.7424946595	0.00013155829045931233	159.5859610149637
warped	15	7	119	native_ivol	0.20217395708244323	1213043.7424946595	1213043.7424946595	0.0	0.0
warped	16	8	128	reference_gauss	0.18090763788143716	1085445.827288623	1344194.5900601381	0.19249353083614104	258748.76277151518
warped	16	8	128	reference_corner	0.19881250000000003	1192875.0000000002	1344194.5900601381	0.11257268194582452	151319.5900601379
warped	16	8	128	current_gauss	0.22620771416337504	1357246.2849802503	1344194.5900601381	0.009709676721380216	13051.694920112146
warped	16	8	128	current_corner	0.24826504687499987	1489590.2812499993	1344194.5900601381	0.10816565716378629	145395.69118986116
warped	16	8	128	current_row_sum	0.215298566550926	1291791.399305556	1344194.5900601381	0.038984824921991165	52403.190754582174
warped	16	8	128	reference_gauss_volume_ratio	0.22403243167668913	1344194.5900601347	1344194.5900601381	2.59818011516606e-15	3.4924596548080444e-09
warped	16	8	128	reference_corner_volume_ratio	0.24620545790284754	1477232.747417085	1344194.5900601381	0.0989723945779271	133038.15735694696
warped	16	8	128	reference_gauss_determinant_average_f	0.22400295835297016	1344017.750117821	1344194.5900601381	0.00013155829046247798	176.83994231722318
warped	16	8	128	native_ivol	0.22403243167668968	1344194.5900601381	1344194.5900601381	0.0	0.0
