variable,maximum_absolute_difference,maximum_reference,maximum_difference_over_field_peak
vals_elem_var379eb1,0.0,0.0,0.0
vals_elem_var380eb1,0.0,0.0,0.0
vals_elem_var381eb1,0.0,0.0,0.0
vals_elem_var382eb1,0.0,0.0,0.0
vals_elem_var383eb1,0.0,0.0,0.0
vals_elem_var384eb1,0.0,0.0,0.0
vals_elem_var385eb1,0.0,0.0,0.0
vals_elem_var386eb1,0.0,0.0,0.0
vals_elem_var387eb1,0.0,0.0,0.0
vals_elem_var388eb1,0.0,0.0,0.0
vals_elem_var389eb1,0.0,0.0,0.0
vals_elem_var390eb1,0.0,0.0,0.0
vals_elem_var391eb1,0.0,0.0,0.0
vals_elem_var392eb1,0.0,0.0,0.0
vals_elem_var393eb1,0.0,0.0,0.0
vals_elem_var394eb1,0.0,0.0,0.0
vals_elem_var395eb1,0.0,0.0,0.0
vals_elem_var396eb1,0.0,0.0,0.0
vals_elem_var397eb1,0.0,0.0,0.0
vals_elem_var398eb1,0.0,0.0,0.0
vals_elem_var399eb1,0.0,0.0,0.0
vals_elem_var400eb1,0.0,0.0,0.0
vals_elem_var401eb1,0.0,0.0,0.0
vals_elem_var402eb1,0.0,0.0,0.0
vals_elem_var403eb1,0.0,0.0,0.0
vals_elem_var404eb1,0.0,0.0,0.0
vals_elem_var405eb1,0.0,0.0,0.0
vals_elem_var406eb1,0.0,0.0,0.0
vals_elem_var407eb1,0.0,0.0,0.0
vals_elem_var408eb1,0.0,0.0,0.0
vals_elem_var409eb1,0.0,0.0,0.0
vals_elem_var410eb1,0.0,0.0,0.0
vals_elem_var411eb1,0.0,0.0,0.0
vals_elem_var412eb1,0.0,0.0,0.0
vals_elem_var413eb1,0.0,0.0,0.0
vals_elem_var414eb1,0.0,0.0,0.0
vals_elem_var415eb1,0.0,0.0,0.0
vals_elem_var416eb1,0.0,0.0,0.0
vals_elem_var417eb1,0.0,0.0,0.0
vals_elem_var418eb1,0.0,0.0,0.0
vals_elem_var419eb1,0.0,0.0,0.0
vals_elem_var420eb1,0.0,0.0,0.0
vals_elem_var421eb1,0.0,0.0,0.0
vals_elem_var422eb1,0.0,0.0,0.0
vals_elem_var423eb1,0.0,0.0,0.0
vals_elem_var424eb1,0.0,0.0,0.0
vals_elem_var425eb1,0.0,0.0,0.0
vals_elem_var426eb1,0.0,0.0,0.0
vals_elem_var427eb1,0.0,0.0,0.0
vals_elem_var428eb1,0.0,0.0,0.0
vals_elem_var429eb1,0.0,0.0,0.0
vals_elem_var430eb1,0.0,0.0,0.0
vals_elem_var431eb1,0.0,0.0,0.0
vals_elem_var432eb1,0.0,0.0,0.0
vals_elem_var433eb1,0.0,0.0,0.0
vals_elem_var434eb1,0.0,0.0,0.0
vals_elem_var435eb1,0.0,0.0,0.0
vals_elem_var436eb1,0.0,0.0,0.0
vals_elem_var437eb1,0.0,0.0,0.0
vals_elem_var438eb1,0.0,0.0,0.0
vals_elem_var439eb1,0.0,0.0,0.0
vals_elem_var440eb1,0.0,0.0,0.0
vals_elem_var441eb1,0.0,0.0,0.0
vals_elem_var442eb1,0.0,0.0,0.0
vals_elem_var443eb1,0.0,0.0,0.0
vals_elem_var444eb1,0.0,0.0,0.0
vals_elem_var445eb1,0.0,0.0,0.0
vals_elem_var446eb1,0.0,0.0,0.0
vals_elem_var447eb1,0.0,0.0,0.0
vals_elem_var448eb1,0.0,0.0,0.0
vals_elem_var449eb1,0.0,0.0,0.0
vals_elem_var450eb1,0.0,0.0,0.0
vals_elem_var451eb1,0.0,0.0,0.0
vals_elem_var452eb1,0.0,0.0,0.0
vals_elem_var453eb1,0.0,0.0,0.0
vals_elem_var454eb1,0.0,0.0,0.0
vals_elem_var455eb1,0.0,0.0,0.0
vals_elem_var456eb1,0.0,0.0,0.0
vals_elem_var457eb1,0.0,0.0,0.0
vals_elem_var458eb1,0.0,0.0,0.0
vals_elem_var459eb1,0.0,0.0,0.0
vals_elem_var460eb1,0.0,0.0,0.0
vals_elem_var461eb1,0.0,0.0,0.0
vals_elem_var462eb1,0.0,0.0,0.0
vals_elem_var463eb1,0.0,0.0,0.0
vals_elem_var464eb1,0.0,0.0,0.0
vals_elem_var465eb1,0.0,0.0,0.0
vals_elem_var466eb1,0.0,0.0,0.0
vals_elem_var467eb1,0.0,0.0,0.0
vals_elem_var468eb1,0.0,0.0,0.0
vals_elem_var469eb1,0.0,0.0,0.0
vals_elem_var470eb1,0.0,0.0,0.0
vals_elem_var471eb1,0.0,0.0,0.0
vals_elem_var472eb1,0.0,0.0,0.0
vals_elem_var473eb1,0.0,0.0,0.0
vals_elem_var474eb1,0.0,0.0,0.0
vals_elem_var475eb1,0.0,0.0,0.0
vals_elem_var476eb1,0.0,0.0,0.0
vals_elem_var477eb1,0.0,0.0,0.0
vals_elem_var478eb1,0.0,0.0,0.0
vals_elem_var479eb1,0.0,0.0,0.0
vals_elem_var480eb1,0.0,0.0,0.0
vals_elem_var481eb1,0.0,0.0,0.0
vals_elem_var482eb1,0.0,0.0,0.0
vals_elem_var483eb1,0.0,0.0,0.0
vals_elem_var484eb1,0.0,0.0,0.0
vals_elem_var485eb1,0.0,0.0,0.0
vals_elem_var486eb1,0.0,0.0,0.0
vals_elem_var487eb1,0.0,0.0,0.0
vals_elem_var488eb1,0.0,0.0,0.0
