time,scope,field,samples,relative_l2_percent,relative_absolute_peak_percent,maximum_pointwise_relative_percent,maximum_absolute_difference,worst_relative_sample,worst_relative_reference_norm,worst_relative_absolute_difference,worst_absolute_sample,zero_reference_samples,maximum_zero_reference_absolute_difference,nonzero_pointwise_failures,largest_failed_reference_norm,largest_failed_absolute_difference,largest_difference_sample,zero_reference_absolute_failures,zero_absolute_tolerance,strict_0_1_percent_passed
0.10000000149011612,frame,cladding_creep_strain,4096,4.232131445453928e-07,1.8033230632019276e-06,9.119424801858525e-06,2.790388955132848e-16,t=0.10000000149 element=702 point=2,1.8174684417539488e-09,1.6574266784326128e-16,t=0.10000000149 element=669 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.15000000596046448,frame,cladding_creep_strain,4096,6.92163335497118e-07,1.2292261729689598e-06,3.517750925230748e-06,7.343207517913183e-16,t=0.15000000596 element=690 point=4,1.6228554235530596e-09,5.708801167719513e-17,t=0.15000000596 element=896 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
0.20000000298023224,frame,cladding_creep_strain,4096,3.418096202946201e-07,6.728225561915092e-07,2.6128088819077048e-06,1.1005021873372006e-15,t=0.20000000298 element=736 point=1,1.081051132659535e-08,2.8245800012092175e-16,t=0.20000000298 element=668 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
0.25,frame,cladding_creep_strain,4096,5.75334623226225e-06,2.879365483617268e-05,3.726498359716783e-05,1.1033389409657122e-13,t=0.25 element=1138 point=5,2.7559684924560685e-07,1.0270112066568674e-13,t=0.25 element=1144 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
0.30000001192092896,frame,cladding_creep_strain,4096,2.9527357682010105e-06,1.3643241886324269e-05,1.719202956030129e-05,1.0634588544148419e-13,t=0.300000011921 element=1139 point=6,5.818113294787345e-07,1.0002517574916598e-13,t=0.300000011921 element=1144 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
0.3499999940395355,frame,cladding_creep_strain,4096,2.173039088530685e-06,6.884597164650132e-06,8.57956296281749e-06,9.796808625767584e-14,t=0.34999999404 element=1143 point=6,1.0925234699816271e-06,9.373373899063213e-14,t=0.34999999404 element=1145 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.4000000059604645,frame,cladding_creep_strain,4096,2.347314960221349e-06,4.963402607322732e-06,9.566052312471772e-06,1.21189176973294e-13,t=0.40000000596 element=696 point=5,1.7461577083852555e-07,1.6703835984239185e-14,t=0.40000000596 element=1150 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.44999998807907104,frame,cladding_creep_strain,4096,2.8827379674718877e-06,4.299616960538623e-06,1.169675169717117e-05,1.823957617487353e-13,t=0.449999988079 element=696 point=5,3.39093468182157e-07,3.966292099459303e-14,t=0.449999988079 element=1143 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.5,frame,cladding_creep_strain,4096,3.5682869203369745e-06,4.954539639550091e-06,1.4559880801523296e-05,3.391823949477008e-13,t=0.5 element=699 point=1,1.894195743921139e-07,2.757926424624453e-14,t=0.5 element=914 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.550000011920929,frame,cladding_creep_strain,4096,7.340441765202624e-06,2.193383508362503e-05,3.590351288182135e-05,2.2282206847062257e-12,t=0.550000011921 element=1152 point=7,6.206135572417533e-06,2.2282206847062257e-12,t=0.550000011921 element=1152 point=7,0,0.0,0,0.0,0.0,,0,1e-12,1
0.6000000238418579,frame,cladding_creep_strain,4096,6.966258820810321e-06,1.6661179048552428e-05,2.796498727804818e-05,2.3814384239481077e-12,t=0.600000023842 element=1144 point=8,8.451923484702011e-06,2.3635793272472836e-12,t=0.600000023842 element=1152 point=7,0,0.0,0,0.0,0.0,,0,1e-12,1
0.6499999761581421,frame,cladding_creep_strain,4096,7.151083968205532e-06,1.369671226051588e-05,3.0028895742454956e-05,2.65282259562628e-12,t=0.649999976158 element=661 point=2,1.2207016347366328e-07,3.665632212215068e-14,t=0.649999976158 element=1152 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
0.699999988079071,frame,cladding_creep_strain,4096,7.674185630824129e-06,1.1860254752559581e-05,4.1971983728262696e-05,3.0253942107560738e-12,t=0.699999988079 element=661 point=2,1.3301346731114691e-07,5.58283908562326e-14,t=0.699999988079 element=1152 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
0.75,frame,cladding_creep_strain,4096,8.428792727945606e-06,1.0876107172493343e-05,4.399437210899301e-05,3.5719910059112974e-12,t=0.75 element=661 point=2,1.4838355387246885e-07,6.528041283920206e-14,t=0.75 element=914 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.800000011920929,frame,cladding_creep_strain,4096,9.347763458932858e-06,1.2228541461226825e-05,4.5835712586675895e-05,5.075360400906961e-12,t=0.800000011921 element=664 point=2,1.673304779331473e-07,7.669711693534853e-14,t=0.800000011921 element=914 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.8500000238418579,frame,cladding_creep_strain,4096,1.0257138227076495e-05,1.3393758644390827e-05,4.7656219607064696e-05,6.924304933466667e-12,t=0.850000023842 element=664 point=2,1.9040996767941845e-07,9.074219235104456e-14,t=0.850000023842 element=914 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.8999999761581421,frame,cladding_creep_strain,4096,1.1159835348777219e-05,1.443863198000103e-05,4.833880073759646e-05,9.176468622585934e-12,t=0.899999976158 element=664 point=2,2.216888873147075e-07,1.0716174949645122e-13,t=0.899999976158 element=915 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.949999988079071,frame,cladding_creep_strain,4096,1.2031904697964801e-05,1.5499858434032885e-05,4.7313412342343124e-05,1.1967066611446666e-11,t=0.949999988079 element=664 point=2,2.6658472943093013e-07,1.2613033227737572e-13,t=0.949999988079 element=915 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
1.0,frame,cladding_creep_strain,4096,1.2891334260007774e-05,1.6390402859563353e-05,4.4762223656983514e-05,1.5208392105593855e-11,t=1 element=659 point=2,3.221397378410598e-07,1.4419690994043552e-13,t=1 element=915 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.05000000074505806,frame,cladding_equiv_plastic,4096,1.9860129996816103e-06,1.944964682165317e-07,3.512709069138705e-05,1.1979532898434217e-11,t=0.0500000007451 element=702 point=2,3.410340185494362e-05,1.1979532898434217e-11,t=0.0500000007451 element=702 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.10000000149011612,frame,cladding_equiv_plastic,4096,2.1342160046500494e-07,2.7345444689386534e-08,2.6218889368043683e-06,2.2745223673265036e-12,t=0.10000000149 element=700 point=4,6.027077923093259e-05,1.5802328927816064e-12,t=0.10000000149 element=669 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.15000000596046448,frame,cladding_equiv_plastic,4096,3.102052953550147e-07,6.062497661225108e-08,1.6161077542715874e-06,2.405346158796534e-12,t=0.15000000596 element=700 point=4,0.00011142450288378498,1.8007400312634175e-12,t=0.15000000596 element=1056 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.20000000298023224,frame,cladding_equiv_plastic,4096,1.75358157372004e-07,1.0559590541463527e-07,1.2290001584148996e-06,2.5859805291052196e-12,t=0.20000000298 element=736 point=1,0.0002072503705018008,2.5471073817825984e-12,t=0.20000000298 element=733 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
0.25,frame,cladding_equiv_plastic,4096,1.294629569654494e-06,3.45422798436576e-07,5.582987270675186e-06,4.113369009555584e-11,t=0.25 element=1145 point=2,0.0007367684736021489,4.113369009555584e-11,t=0.25 element=1145 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.30000001192092896,frame,cladding_equiv_plastic,4096,4.963791105613938e-07,3.5670741027029276e-07,2.463777549358115e-06,1.3490861639625651e-11,t=0.300000011921 element=699 point=6,0.0003367964867607208,8.297916227837515e-12,t=0.300000011921 element=1145 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.3499999940395355,frame,cladding_equiv_plastic,4096,6.842583884086365e-07,7.239919291515142e-07,3.107512787506762e-06,1.6837827681616402e-11,t=0.34999999404 element=690 point=5,0.0004526845818018655,1.4067231266564478e-11,t=0.34999999404 element=732 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.4000000059604645,frame,cladding_equiv_plastic,4096,8.719173329465637e-07,6.676932306971155e-07,3.830900538253812e-06,2.4251012764771318e-11,t=0.40000000596 element=696 point=5,0.0005756237390027346,2.2051572915772477e-11,t=0.40000000596 element=732 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.44999998807907104,frame,cladding_equiv_plastic,4096,1.0641696387043959e-06,6.199650157945889e-07,4.652680348945505e-06,3.3752111999393875e-11,t=0.449999988079 element=696 point=5,0.0007013281869707868,3.263055873680559e-11,t=0.449999988079 element=723 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.5,frame,cladding_equiv_plastic,4096,1.2739384736666915e-06,6.36744635674453e-07,5.994472504976568e-06,4.697102190705238e-11,t=0.5 element=700 point=1,0.000532796720128974,3.1938352895548305e-11,t=0.5 element=732 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.550000011920929,frame,cladding_equiv_plastic,4096,4.452962088563607e-06,5.412266924847118e-07,2.4796630263230648e-05,4.055522538886497e-10,t=0.550000011921 element=1143 point=7,0.0016355135741569589,4.055522538886497e-10,t=0.550000011921 element=1143 point=7,0,0.0,0,0.0,0.0,,0,1e-12,1
0.6000000238418579,frame,cladding_equiv_plastic,4096,1.8340458060608647e-06,8.449243643278399e-07,8.774752159790058e-06,7.797754195820739e-11,t=0.600000023842 element=700 point=1,0.000622804588436807,5.4649559075130305e-11,t=0.600000023842 element=696 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
