id,x,y,z,gap,constraint_pressure,recovered_pressure,normal_force_x,normal_force_y,normal_force_z,tangential_force_x,tangential_force_y,tangential_force_z,slip_x,slip_y,slip_z,elastic_slip_x,elastic_slip_y,elastic_slip_z,projected,sliding,primary_face
177,0.0029132799384885754,-0.0029132799384885767,0.00062500000000000001,-7.0936885396125179e-06,70936.885396125173,70984.708404096265,-0.015940671092490352,0.015940671097756411,2.3638656505227049e-05,-3.1860595601834038e-08,3.1857195377550601e-08,-4.5970353867513954e-05,3.1673246126268745e-07,-3.1637113697774645e-07,0.00049392343870764232,3.213767807675642e-09,-3.2102457580607523e-09,5.0117719746209101e-06,1,1,110
178,0.0038063836739465019,-0.0015766557413441709,0.00062500000000000001,-7.0936921608705803e-06,70936.921608705801,70984.745370050281,-0.020827496129784285,0.0086270294394378173,2.3638720428229639e-05,-4.1626431601495533e-08,1.7239899917408847e-08,-4.5970364844324825e-05,4.1369325603985046e-07,-1.7108311376890094e-07,0.00049392343570454076,4.1976250558984605e-09,-1.7361073342810906e-09,5.0117719746066003e-06,1,1,111
203,0.0041200000000000004,0,0.00125,-8.6284109663667395e-06,86284.10966366739,86685.327898365853,-0.027647007656407957,-5.7733649675220655e-12,1.4371085530335285e-05,-2.8689484882760081e-08,-4.3463393661566451e-12,-5.6377360264390605e-05,2.5126597681049715e-07,2.7306476002985444e-10,0.00053212380990980428,2.3665322508711965e-09,2.3695201117556472e-12,5.0117734744396026e-06,1,1,127
204,0.0038063836739465019,0.00157665574134417,0.00125,-8.6284049471802068e-06,86284.049471802064,86685.266669555451,-0.025542498648879322,-0.010580046469489452,1.4371032809969555e-05,-2.6503967951339605e-08,-1.0983550618568132e-08,-5.6377345006589269e-05,2.3203247455117159e-07,9.6412041367685812e-08,0.00053212381221928739,2.1854255638846805e-09,9.0794717646787127e-10,5.0117734744423513e-06,1,1,113
205,0.0029132799384885763,0.0029132799384885759,0.00125,-8.6283991368003958e-06,86283.991368003961,86685.207666090093,-0.019549375824031354,-0.019549375815721588,1.4370991383072206e-05,-2.0283773491160844e-08,-2.0289920162555889e-08,-5.6377329069230577e-05,1.774773653122161e-07,1.7786353714697358e-07,0.00053212381401738162,1.6717020679804824e-09,1.6750530713664905e-09,5.0117734744485736e-06,1,1,114
206,0.0015766557413441702,0.0038063836739465019,0.00125,-8.6284049136701688e-06,86284.049136701695,86685.266359496338,-0.010580046460092998,-0.025542498626461033,1.4371032797668131e-05,-1.0975519615207804e-08,-2.6507294475545487e-08,-5.6377344957021368e-05,9.5907483434608309e-08,2.3224146929636982e-07,0.00053212381221852498,9.0356887490451582e-10,2.1872391158326982e-09,5.0117734744424817e-06,1,1,115
207,2.522772406243548e-19,0.0041200000000000004,0.00125,-8.6284109663661635e-06,86284.109663661628,86685.327898359988,5.77450674082991e-12,-0.027647007656407617,1.4371085530325232e-05,4.3463387308112107e-12,-2.8689484882824452e-08,-5.6377360264389907e-05,-2.730647595222699e-10,2.5126597681054755e-07,0.00053212380990980503,-2.3695201111844495e-12,2.366532250871668e-09,5.0117734744396026e-06,1,1,116
226,-0.0015766557413441698,0.0038063836739465019,0.00125,-8.6284049471834204e-06,86284.049471834209,86685.266669584802,0.010580046469489681,-0.025542498648880176,1.4371032809938385e-05,1.098355061822737e-08,-2.6503967951239e-08,-5.6377345006591058e-05,-9.6412041368860316e-08,2.3203247455145105e-07,0.00053212381221928848,-9.0794717655851486e-10,2.1854255638543432e-09,5.0117734744423504e-06,1,1,117
227,-0.0029132799384885759,0.0029132799384885763,0.00125,-8.628399136800838e-06,86283.991368008385,86685.207666100963,0.019549375815724638,-0.019549375824033918,1.4370991383070324e-05,2.0289920162401798e-08,-2.0283773491245528e-08,-5.6377329069238681e-05,-1.7786353714943689e-07,1.7747736530999531e-07,0.00053212381401738606,-1.6750530714475923e-09,1.671702067901637e-09,5.0117734744485736e-06,1,1,118
228,-0.0038063836739465019,0.0015766557413441705,0.00125,-8.6284049136699808e-06,86284.049136699803,86685.266359499175,0.02554249862646512,-0.010580046460095079,1.4371032797663516e-05,2.6507294475805132e-08,-1.0975519614816237e-08,-5.6377344957030672e-05,-2.3224146929893312e-07,9.5907483430609188e-08,0.00053212381221852379,-2.1872391158055435e-09,9.0356887499070618e-10,5.0117734744424817e-06,1,1,119
229,-0.0041200000000000004,5.0455448124870961e-19,0.00125,-8.6284109663673544e-06,86284.109663673546,86685.32789836466,0.027647007656405539,5.7736582442097228e-12,1.4371085530345668e-05,2.8689484882961099e-08,4.3463385285465775e-12,-5.6377360264385679e-05,-2.5126597681069662e-07,-2.730647591211316e-10,0.00053212380990980222,-2.3665322508730846e-09,-2.3695201203615026e-12,5.0117734744396035e-06,1,1,120
248,-0.0038063836739465019,-0.0015766557413441696,0.00125,-8.6284049471822447e-06,86284.049471822451,86685.266669561737,0.025542498648877018,0.01058004646948839,1.437103280995526e-05,2.6503967951175992e-08,1.0983550618375649e-08,-5.6377345006584105e-05,-2.3203247455229684e-07,-9.6412041368295636e-08,0.00053212381221928479,-2.1854255639085558e-09,-9.0794717644158874e-10,5.0117734744423504e-06,1,1,121
249,-0.0029132799384885767,-0.0029132799384885754,0.00125,-8.6283991368007279e-06,86283.991368007279,86685.207666091781,0.019549375824031569,0.019549375815722792,1.4370991383070253e-05,2.0283773491230738e-08,2.0289920162172166e-08,-5.6377329069232637e-05,-1.7747736530975679e-07,-1.7786353714945277e-07,0.00053212381401738455,-1.671702067844137e-09,-1.6750530715030051e-09,5.0117734744485736e-06,1,1,122
250,-0.0015766557413441707,-0.0038063836739465019,0.00125,-8.6284049136703942e-06,86284.049136703936,86685.266359506524,0.01058004646009459,0.025542498626465019,1.4371032797670174e-05,1.0975519614788759e-08,2.6507294475940132e-08,-5.6377344957030103e-05,-9.5907483436378661e-08,-2.3224146929479987e-07,0.00053212381221852585,-9.035688749519872e-10,-2.1872391158051506e-09,5.0117734744424808e-06,1,1,123
