step,input_kind,input_index,delta_m,output_index,output_label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
S3_MINUS,secondary,3,-1e-06,8,35,-0.00830078124999995,79498.23221377651,-9937.279026722066,0,0
S3_MINUS,secondary,3,-1e-06,9,37,-0.004882812499999989,61492.73365962221,-3843.295853726388,0,0
S4_PLUS,secondary,4,1e-06,1,7,-0.01464862500001955,125582.0603483176,-7848.878688266201,-0.00471763248071384,0.01072586692195164
S4_PLUS,secondary,4,1e-06,2,11,-0.01123050010364669,110626.924149855,-13828.36556286188,-0.004386960439392686,0.004971890452984419
S4_PLUS,secondary,4,1e-06,3,15,-0.0126953125,110931.5138130019,-6933.219613312619,0,0
S4_PLUS,secondary,4,1e-06,4,23,-0.008789624568784085,92624.55810361775,-11578.06946599426,-0.01509416491029123,0.00150044724731497
S4_PLUS,secondary,4,1e-06,5,25,-0.009033296789862951,89875.438648839,-22468.85944302309,-0.01517010110639629,0.0005594888949145289
S4_PLUS,secondary,4,1e-06,6,27,-0.006835937500000023,77972.60727822273,-9746.575909777841,0,0
S4_PLUS,secondary,4,1e-06,7,33,-0.00683612500000911,76143.58298446346,-4758.973918524821,-0.003344341538350005,-0.006224524236871104
S4_PLUS,secondary,4,1e-06,8,35,-0.008300812447487935,79498.99351027286,-9937.374132531777,-0.003522295628996988,-0.003293423599226116
S4_PLUS,secondary,4,1e-06,9,37,-0.004882812499999989,61493.03695770421,-3843.314809856513,0,0
S4_MINUS,secondary,4,-1e-06,1,7,-0.01464825000001953,125577.6076193069,-7848.600558912402,0.004717385422371827,-0.01072544736593509
S4_MINUS,secondary,4,-1e-06,2,11,-0.01123043739633462,110625.5172559523,-13828.18961265134,0.004386843271216503,-0.004971753751945471
S4_MINUS,secondary,4,-1e-06,3,15,-0.0126953125,110931.2791557148,-6933.204947232173,0,0
S4_MINUS,secondary,4,-1e-06,4,23,-0.008788500431154348,92617.14111465075,-11577.14293582744,0.01509280611621108,-0.001500447934462207
S4_MINUS,secondary,4,-1e-06,5,25,-0.009033109460139709,89873.09650731395,-22468.27434596161,0.01516945781130705,-0.0005594889695546665
S4_MINUS,secondary,4,-1e-06,6,27,-0.006835937500000023,77972.21694052723,-9746.527117565904,0,0
S4_MINUS,secondary,4,-1e-06,7,33,-0.006835750000009128,76139.13185940802,-4758.695759053902,0.003344094333643941,0.006224104505766386
S4_MINUS,secondary,4,-1e-06,8,35,-0.00830075005251386,79497.58852101493,-9937.198621321975,0.003522178654510565,0.003293287012410055
S4_MINUS,secondary,4,-1e-06,9,37,-0.004882812499999989,61492.8028860508,-3843.300180378174,0,0
S5_PLUS,secondary,5,1e-06,1,7,-0.01464850000000486,125581.2399834382,-7848.827419236134,0.004717586977229432,0.004971900126798588
S5_PLUS,secondary,5,1e-06,2,11,-0.01123065608832536,110628.5636605026,-13828.57026514009,0.0002034504826767206,0.01812024129306057
S5_PLUS,secondary,5,1e-06,3,15,-0.01269537500000415,110932.8024316574,-6933.300094631226,-0.00410723543566461,0.004564999107346705
S5_PLUS,secondary,5,1e-06,4,23,-0.008789249856288173,92623.19259359044,-11577.89901003003,0.01509391497591984,0.0005594887626593326
S5_PLUS,secondary,5,1e-06,5,25,-0.009033765651537426,89878.17367180211,-22469.5436342692,0.0008138018732935918,0.001475015636323168
S5_PLUS,secondary,5,1e-06,6,27,-0.006836124878396127,77974.75529741748,-9746.844394936765,-0.01265250883410333,0.0005594887726256864
S5_PLUS,secondary,5,1e-06,7,33,-0.00683600000000227,76142.76367384876,-4758.922747573247,0.003344296066872152,-0.003293433472957556
S5_PLUS,secondary,5,1e-06,8,35,-0.008300968864715661,79500.63547925807,-9937.579575531066,0.0002034504889531763,-0.01369519322797367
