id,x,y,z,temperature,displacement_x,displacement_y,displacement_z
117,0.0060000000000000001,0.0040000000000000001,0,600,1.5101814967243232e-07,5.7019781900272393e-08,-1.2435734633648439e-05
118,0.0060000000000000001,0.0040000000000000001,0.00025000000000000001,606.38911406430543,1.1809738187142941e-06,2.6928221721471389e-07,-1.2432331114865295e-05
119,0.007000000000000001,0.0040000000000000001,0,600,3.3168108429321823e-08,5.7651029488459063e-08,-1.7168812907136745e-05
120,0.007000000000000001,0.0040000000000000001,0.00025000000000000001,606.42830065474755,1.3643245063625462e-06,2.5639605035857145e-07,-1.7139551937029551e-05
121,0.0080000000000000002,0.0040000000000000001,0,600,1.8651972211443098e-07,3.7423755156732379e-08,-2.2588774438732467e-05
122,0.0080000000000000002,0.0040000000000000001,0.00025000000000000001,606.27981376695277,1.5651446165087556e-06,2.5580400716998043e-07,-2.257942499597117e-05
123,0.0090000000000000011,0.0040000000000000001,0,600,7.6147648954945813e-08,3.4096051827344668e-08,-2.8766002659234261e-05
124,0.0090000000000000011,0.0040000000000000001,0.00025000000000000001,606.95103468034688,1.7830255099781911e-06,2.3526615175918205e-07,-2.8738741477413897e-05
125,0.01,0.0040000000000000001,0,600,2.4721152019939527e-07,2.2870717988321129e-08,-3.5621042230479804e-05
126,0.01,0.0040000000000000001,0.00025000000000000001,603.89219258505068,1.9728546626149525e-06,2.2977743441415702e-07,-3.5611758177070383e-05
127,0.010999999999999999,0.0040000000000000001,0,600,1.4299898330415133e-07,1.9687773910505617e-08,-4.3249076687034631e-05
128,0.010999999999999999,0.0040000000000000001,0.00025000000000000001,617.81437321200258,2.2458699443017934e-06,1.9445442772854928e-07,-4.3234054362169178e-05
129,0.012,0.0040000000000000001,0,600,3.5793401150321795e-07,1.5203104941120871e-08,-5.1272847255237092e-05
130,0.012,0.0040000000000000001,0.00025000000000000001,628.08034300930319,2.2772841030421334e-06,2.0059971332953105e-07,-5.126055452776057e-05
131,0.001,0.0050000000000000001,0,600,-6.5580617074125055e-08,1.9623308018402268e-07,-5.4834689335164781e-07
