case	metric	value
b1212_cax8rt_small_friction	rz_displacement_zero_reference_count	130
b1212_cax8rt_small_friction	rz_displacement_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_support_reaction_relative_l2	1.285795926938e-11
b1212_cax8rt_small_friction	rz_support_reaction_relative_absolute_peak	2.886283012115e-11
b1212_cax8rt_small_friction	rz_support_reaction_maximum_pointwise_relative	2.628799852620e-09
b1212_cax8rt_small_friction	rz_support_reaction_maximum_pointwise_relative_index	14
b1212_cax8rt_small_friction	rz_support_reaction_maximum_pointwise_actual_norm	3.471398760677e-03
b1212_cax8rt_small_friction	rz_support_reaction_maximum_pointwise_reference_norm	3.471398768860e-03
b1212_cax8rt_small_friction	rz_support_reaction_maximum_difference_index	9
b1212_cax8rt_small_friction	rz_support_reaction_maximum_absolute_group_difference	5.774193564500e-10
b1212_cax8rt_small_friction	rz_support_reaction_zero_reference_count	0
b1212_cax8rt_small_friction	rz_support_reaction_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_free_node_reaction_absolute_l2	1.423576258287e-10
b1212_cax8rt_small_friction	rz_free_node_reaction_absolute_peak	5.346301179543e-11
b1212_cax8rt_small_friction	rz_free_node_reaction_maximum_pointwise_absolute	5.346301179543e-11
b1212_cax8rt_small_friction	rz_free_node_reaction_zero_reference_count	500
b1212_cax8rt_small_friction	rz_free_node_reaction_maximum_zero_reference_absolute_difference	5.346301179543e-11
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_relative_l2	2.015659393781e-11
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_relative_absolute_peak	3.161526777376e-13
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_maximum_pointwise_relative	6.506068282083e-11
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_maximum_pointwise_relative_index	0
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_maximum_pointwise_relative_actual	6.752597029437e-01
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_maximum_pointwise_relative_reference	6.752597028997e-01
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_maximum_absolute_difference_index	0
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_maximum_absolute_difference_actual	6.752597029437e-01
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_maximum_absolute_difference_reference	6.752597028997e-01
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_zero_reference_count	0
b1212_cax8rt_small_friction	rz_bottom_axial_reaction_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_stress_tensor_relative_l2	1.443765124406e-11
b1212_cax8rt_small_friction	rz_stress_tensor_relative_absolute_peak	4.105927006489e-11
b1212_cax8rt_small_friction	rz_stress_tensor_maximum_pointwise_relative	3.094500062814e-10
b1212_cax8rt_small_friction	rz_stress_tensor_maximum_pointwise_relative_index	6
b1212_cax8rt_small_friction	rz_stress_tensor_maximum_pointwise_actual_norm	7.339395349885e+04
b1212_cax8rt_small_friction	rz_stress_tensor_maximum_pointwise_reference_norm	7.339395350118e+04
b1212_cax8rt_small_friction	rz_stress_tensor_maximum_difference_index	2
b1212_cax8rt_small_friction	rz_stress_tensor_maximum_absolute_group_difference	1.868576060911e-04
b1212_cax8rt_small_friction	rz_stress_tensor_zero_reference_count	0
b1212_cax8rt_small_friction	rz_stress_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_elastic_tensor_relative_l2	1.001442287643e-11
b1212_cax8rt_small_friction	rz_elastic_tensor_relative_absolute_peak	3.499188154503e-11
b1212_cax8rt_small_friction	rz_elastic_tensor_maximum_pointwise_relative	2.777715462148e-10
b1212_cax8rt_small_friction	rz_elastic_tensor_maximum_pointwise_relative_index	6
b1212_cax8rt_small_friction	rz_elastic_tensor_maximum_pointwise_actual_norm	8.722374872065e-05
b1212_cax8rt_small_friction	rz_elastic_tensor_maximum_pointwise_reference_norm	8.722374871649e-05
b1212_cax8rt_small_friction	rz_elastic_tensor_maximum_difference_index	3
b1212_cax8rt_small_friction	rz_elastic_tensor_maximum_absolute_group_difference	1.954081049524e-13
b1212_cax8rt_small_friction	rz_elastic_tensor_zero_reference_count	0
b1212_cax8rt_small_friction	rz_elastic_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_plastic_tensor_zero_reference_count	280
b1212_cax8rt_small_friction	rz_plastic_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_creep_tensor_zero_reference_count	280
b1212_cax8rt_small_friction	rz_creep_tensor_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_equivalent_plastic_strain_absolute_l2	0.000000000000e+00
b1212_cax8rt_small_friction	rz_equivalent_plastic_strain_absolute_peak	0.000000000000e+00
b1212_cax8rt_small_friction	rz_equivalent_plastic_strain_maximum_pointwise_absolute	0.000000000000e+00
b1212_cax8rt_small_friction	rz_equivalent_plastic_strain_zero_reference_count	280
b1212_cax8rt_small_friction	rz_equivalent_plastic_strain_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_equivalent_creep_strain_absolute_l2	0.000000000000e+00
b1212_cax8rt_small_friction	rz_equivalent_creep_strain_absolute_peak	0.000000000000e+00
b1212_cax8rt_small_friction	rz_equivalent_creep_strain_maximum_pointwise_absolute	0.000000000000e+00
b1212_cax8rt_small_friction	rz_equivalent_creep_strain_zero_reference_count	280
b1212_cax8rt_small_friction	rz_equivalent_creep_strain_maximum_zero_reference_absolute_difference	0.000000000000e+00
b1212_cax8rt_small_friction	rz_accepted_frames	10
b1212_cax8rt_small_friction	rz_sliding_gap_relative_l2	2.607088579271e-10
b1212_cax8rt_small_friction	rz_sliding_gap_relative_absolute_peak	4.682164097458e-12
b1212_cax8rt_small_friction	rz_sliding_gap_maximum_pointwise_relative	1.089626553324e-09
b1212_cax8rt_small_friction	rz_sliding_gap_maximum_pointwise_relative_index	1
b1212_cax8rt_small_friction	rz_sliding_gap_maximum_pointwise_relative_actual	-2.029843494473e-07
b1212_cax8rt_small_friction	rz_sliding_gap_maximum_pointwise_relative_reference	-2.029843496685e-07
b1212_cax8rt_small_friction	rz_sliding_gap_maximum_absolute_difference_index	1
b1212_cax8rt_small_friction	rz_sliding_gap_maximum_absolute_difference_actual	-2.029843494473e-07
b1212_cax8rt_small_friction	rz_sliding_gap_maximum_absolute_difference_reference	-2.029843496685e-07
b1212_cax8rt_small_friction	rz_sliding_gap_zero_reference_count	0
