step,side,local_node,node_label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
RECLOSE,primary,21,49,,4319.506212774169,-26.13144676701363,1.286457895491312e-15,-4.129687952533151e-15
RECLOSE,primary,22,52,,117.0560332338932,-6.52309769590724,3.508092189262108e-16,-1.065213082538243e-15
RECLOSE,primary,23,54,,4319.506212774461,-26.13144676701477,1.773940299564903e-15,-5.068400891470121e-15
RETURN,secondary,1,57,-9.999999999999999e-05,10000,-999.9999999999999,-2.479234370798597e-14,-1.480790439310526e-13
RETURN,secondary,2,60,-0.0001,10000,-999.9999999999998,3.233515093711838e-14,-5.248843063668486e-14
RETURN,secondary,3,64,-9.999999999999998e-05,9999.999999999996,-1000,7.182047643910884e-14,-2.539921055036021e-14
RETURN,secondary,4,61,-0.0001,10000,-1000,-2.294665537555554e-14,1.112320100530495e-14
RETURN,secondary,5,68,-9.999999999999999e-05,10000,4000,-5.411093118943905e-13,1.745005414524737e-13
RETURN,secondary,6,72,-9.999999999999999e-05,9999.999999999998,4000,-2.288881982759432e-13,3.518644398973741e-13
RETURN,secondary,7,76,-9.999999999999999e-05,9999.999999999998,4000,-1.14189145386936e-13,5.291839338879132e-13
RETURN,secondary,8,69,-0.0001,10000,4000,-1.742054656944962e-13,2.245453672273904e-13
RETURN,primary,1,2,,4148.630299469645,147.2095544246909,-1.115285350216646e-14,1.939618770962378e-16
RETURN,primary,2,3,,10000,398.3021575380131,5.502399654593481e-14,7.286825275896312e-14
RETURN,primary,3,7,,10000,398.3021575380134,5.83447759600968e-14,-5.903092351021287e-14
RETURN,primary,4,6,,4148.630299469643,147.2095544246909,-1.397497884336577e-14,1.067187607652986e-14
RETURN,primary,5,10,,7492.270128344133,-367.1695980284279,4.01479609448198e-14,1.044109685019511e-14
RETURN,primary,6,15,,10000,-2518.612670116974,7.514378009377308e-14,-1.033804641777848e-13
RETURN,primary,7,18,,7492.270128344132,-367.1695980284279,5.600645977186221e-14,-4.694006660640702e-14
RETURN,primary,8,14,,4148.630299469644,-154.2673562005964,8.258746070465355e-15,-4.274250794744844e-15
RETURN,primary,9,21,,4234.949352719768,841.6513085670408,4.260548811379106e-14,8.986207035430807e-14
RETURN,primary,10,23,,4234.949352719776,841.6513085670413,-9.480810927755747e-14,2.031521584573312e-14
RETURN,primary,11,25,,7529.264008308473,-1691.593977306673,2.181395246694257e-13,-3.612798042632015e-14
RETURN,primary,12,28,,4234.949352719772,-3306.495688860173,2.030707620897301e-13,-2.627494329759947e-13
RETURN,primary,13,30,,7529.264008308473,-1691.593977306672,2.398931467074533e-14,-2.067246127147911e-13
RETURN,primary,14,33,,9953.186097489703,344.12463847634,-2.970836764875025e-14,2.18914995613152e-14
RETURN,primary,15,35,,9953.186097489706,344.1246384763406,-2.518915790094722e-14,5.75121230240976e-15
RETURN,primary,16,37,,7529.264008308473,-1656.018457449027,2.177130434900118e-13,-1.30470662995684e-13
RETURN,primary,17,40,,9953.186097489704,-2014.10118712635,1.162695664975445e-13,-2.049404460937025e-13
RETURN,primary,18,42,,7529.264008308473,-1656.018457449027,5.978055811851437e-14,-2.356492982673458e-13
RETURN,primary,19,45,,117.0560332338913,9.625820545054459,-4.887458432992824e-16,1.538383087923409e-15
RETURN,primary,20,47,,117.0560332338913,9.625820545054616,-6.07478475530568e-16,1.767073422696107e-15
RETURN,primary,21,49,,4319.506212774024,-26.13144676701236,1.286457895491037e-15,-4.129687952532986e-15
RETURN,primary,22,52,,117.0560332338913,-6.523097695906893,3.508092189261499e-16,-1.065213082538176e-15
RETURN,primary,23,54,,4319.506212774038,-26.13144676701301,1.773940299564665e-15,-5.068400891469685e-15
